Compound_Name	unique_prec_mz_by_dataset	unique_prec_mz_by_dataset_p
Aminovaleric acid-BA	1	0.340136054421769
Taurobile acid	111	37.7551020408163
Glycobile acid	211	71.7687074829932
Phenylalanine-BA	39	13.265306122449
Isoleucine/Leucine-BA	28	9.52380952380952
Serine-BA	9	3.06122448979592
Alanine-BA	31	10.5442176870748
Asparagin-BA	15	5.10204081632653
Lysine-BA	57	19.3877551020408
Glutamate-BA	69	23.469387755102
Threonine-BA	45	15.3061224489796
Glutamine-BA	45	15.3061224489796
Tyrosine-BA	27	9.18367346938776
N-acetyl-putrescine-BA	6	2.04081632653061
N-acetyl-cadaverine-BA	8	2.72108843537415
3-keto taurobile acid	1	0.340136054421769
Aspartate-BA	5	1.70068027210884
Citrulline-BA	5	1.70068027210884
Ornithine-BA	7	2.38095238095238
Cadaverine-BA	4	1.36054421768707
Putrescine-BA	1	0.340136054421769
Histidine-BA	3	1.02040816326531
Methionine-BA	3	1.02040816326531
Glycylglycine-BA	3	1.02040816326531
