ZT_collection_time	Detection	Molecule.Name	count	count_zt	percentage
ZT0	Yes	Cholic acid	25	25	100
ZT0	Yes	Lysine conjugated	2	25	8
ZT0	Yes	Ornithine conjugated	1	25	4
ZT0	Yes	Phenylalanine conjugated	5	25	20
ZT0	Yes	Taurocholic acid	22	25	88
ZT0	Yes	Tyrosine conjugated	6	25	24
ZT12	Yes	Cholic acid	22	22	100
ZT12	Yes	Lysine conjugated	12	22	54.5454545454545
ZT12	Yes	Ornithine conjugated	16	22	72.7272727272727
ZT12	Yes	Phenylalanine conjugated	14	22	63.6363636363636
ZT12	Yes	Taurocholic acid	20	22	90.9090909090909
ZT12	Yes	Tyrosine conjugated	6	22	27.2727272727273
ZT16	Yes	Cholic acid	25	25	100
ZT16	Yes	Lysine conjugated	8	25	32
ZT16	Yes	Ornithine conjugated	15	25	60
ZT16	Yes	Phenylalanine conjugated	14	25	56
ZT16	Yes	Taurocholic acid	23	25	92
ZT16	Yes	Tyrosine conjugated	8	25	32
ZT20	Yes	Cholic acid	25	25	100
ZT20	Yes	Lysine conjugated	2	25	8
ZT20	Yes	Ornithine conjugated	3	25	12
ZT20	Yes	Phenylalanine conjugated	7	25	28
ZT20	Yes	Taurocholic acid	24	25	96
ZT20	Yes	Tyrosine conjugated	3	25	12
ZT4	Yes	Cholic acid	24	24	100
ZT4	Yes	Lysine conjugated	12	24	50
ZT4	Yes	Ornithine conjugated	10	24	41.6666666666667
ZT4	Yes	Phenylalanine conjugated	19	24	79.1666666666667
ZT4	Yes	Taurocholic acid	23	24	95.8333333333333
ZT4	Yes	Tyrosine conjugated	13	24	54.1666666666667
ZT8	Yes	Cholic acid	14	14	100
ZT8	Yes	Lysine conjugated	6	14	42.8571428571429
ZT8	Yes	Ornithine conjugated	10	14	71.4285714285714
ZT8	Yes	Phenylalanine conjugated	10	14	71.4285714285714
ZT8	Yes	Taurocholic acid	10	14	71.4285714285714
ZT8	Yes	Tyrosine conjugated	3	14	21.4285714285714
